Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","051","Armenia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2957.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","031","Azerbaijan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10047.72","X","Figure from international organizations"
"FBS","Food Balances (2010-)","048","Bahrain","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1641.17","X","Figure from international organizations"
"FBS","Food Balances (2010-)","196","Cyprus","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1198.58","X","Figure from international organizations"
"FBS","Food Balances (2010-)","268","Georgia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","3996.76","X","Figure from international organizations"
"FBS","Food Balances (2010-)","368","Iraq","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","33716.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","376","Israel","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","8519.38","X","Figure from international organizations"
"FBS","Food Balances (2010-)","400","Jordan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10101.69","X","Figure from international organizations"
"FBS","Food Balances (2010-)","414","Kuwait","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4207.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","422","Lebanon","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","6855.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","512","Oman","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","4974.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","634","Qatar","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2832.07","X","Figure from international organizations"
"FBS","Food Balances (2010-)","682","Saudi Arabia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","34268.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","760","Syrian Arab Republic","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","17070.13","X","Figure from international organizations"
"FBS","Food Balances (2010-)","792","Türkiye","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","83429.62","X","Figure from international organizations"
"FBS","Food Balances (2010-)","784","United Arab Emirates","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","9770.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","887","Yemen","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","29161.92","X","Figure from international organizations"
