Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","242","Fiji","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","889.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","540","New Caledonia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","282.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","598","Papua New Guinea","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","8776.11","X","Figure from international organizations"
"FBS","Food Balances (2010-)","090","Solomon Islands","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","669.82","X","Figure from international organizations"
"FBS","Food Balances (2010-)","548","Vanuatu","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","299.88","X","Figure from international organizations"
