Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","072","Botswana","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2303.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","748","Eswatini","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1148.13","X","Figure from international organizations"
"FBS","Food Balances (2010-)","426","Lesotho","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2125.27","X","Figure from international organizations"
"FBS","Food Balances (2010-)","516","Namibia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","2494.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","710","South Africa","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","58558.27","X","Figure from international organizations"
