Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","38041.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","163046.16","X","Figure from international organizations"
"FBS","Food Balances (2010-)","064","Bhutan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","763.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","356","India","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","1366417.75","X","Figure from international organizations"
"FBS","Food Balances (2010-)","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","82913.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","462","Maldives","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","530.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","524","Nepal","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","28608.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","586","Pakistan","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","216565.32","X","Figure from international organizations"
"FBS","Food Balances (2010-)","144","Sri Lanka","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","21323.73","X","Figure from international organizations"
