Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","296","Kiribati","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","117.61","X","Figure from international organizations"
"FBS","Food Balances (2010-)","583","Micronesia (Federated States of)","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","113.81","X","Figure from international organizations"
"FBS","Food Balances (2010-)","520","Nauru","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","10.76","X","Figure from international organizations"
