Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","8955.1","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","11539.33","X","Figure from international organizations"
"FBS","Food Balances (2010-)","058","Belgium-Luxembourg","511","Total Population - Both sexes","S2501","Population","2019","2019","","","",""
"FBS","Food Balances (2010-)","250","France","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","65129.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","276","Germany","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","83517.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","442","Luxembourg","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","615.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","528","Netherlands","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","17097.13","X","Figure from international organizations"
"FBS","Food Balances (2010-)","756","Switzerland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 persons","8591.36","X","Figure from international organizations"
